"","it","dim","N","pr","lh","prior"
"8967",8967,5,192.482424761589,0.00627063275839075,-8470.04234613706,-1667.17203283181
"8968",8968,5,205.293731913629,0.000493774481992119,-8497.60469707062,-1631.43306605151
"8969",8969,5,222.107742517995,0.00345887836448016,-8466.31581675283,-1665.80531319197
"8970",8970,5,233.521292629957,0.000458481863846276,-8468.44932086038,-1664.91581483264
"8971",8971,6,285.56637196316,0.00110556160708364,-8448.33944907157,-1691.32885305902
"8972",8972,5,226.056190164022,0.00367985141787866,-8472.55782845233,-1666.74881853231
"8973",8973,5,396.321379967622,0.0022499653567886,-8442.13288495337,-1693.15321764194
"8974",8974,6,262.373186602926,0.00144666399579374,-8397.99374483861,-1743.25024020393
"8975",8975,5,229.095465504363,0.0027489049220122,-8442.63682278399,-1684.44711950096
"8976",8976,5,397.448356033807,0.00243026343980563,-8437.2531676746,-1698.51201182505
"8977",8977,6,264.160051229448,0.00169034816542015,-8451.25211381298,-1685.68947654434
"8978",8978,5,338.403985919441,0.00309403679775186,-8464.95779987086,-1668.59065666204
"8979",8979,5,263.711760557623,0.00416995069562505,-8372.4421293903,-1757.23793306748
"8980",8980,5,259.720269345226,0.00291851477801694,-8397.60586481043,-1726.69691364182
"8981",8981,5,338.657316157905,0.00175642645824359,-8406.61225134508,-1723.15895148296
"8982",8982,5,208.276508789129,0.000718243756797158,-8405.27213083821,-1722.78225659965
"8983",8983,5,315.33532782612,0.00171385214656922,-8371.96164674337,-1757.29221984971
"8984",8984,5,198.433032441281,0.00286462129495272,-8435.60285074172,-1689.06359893295
"8985",8985,5,239.652856831719,0.00148196998671914,-8400.41949945997,-1729.10902072064
"8986",8986,5,176.110129682183,0.000961230732080765,-8395.06414383876,-1729.51809564324
"8987",8987,5,247.115117731917,0.00205076188896784,-8384.49093488173,-1743.94184658363
"8988",8988,5,306.483837034341,0.0019837838549328,-8405.8782801939,-1720.04791377352
"8989",8989,5,207.132210197013,0.00074811924380147,-8410.78206354365,-1715.40148061659
"8990",8990,5,311.4531490454,0.00177626582708374,-8405.92313013672,-1725.56458160825
"8991",8991,5,247.831977414712,0.00733210398732067,-8436.34040353232,-1694.43938546185
"8992",8992,5,174.090842298564,0.00152936740113547,-8391.77937066534,-1730.61964668689
"8993",8993,5,235.296337940945,0.00169691266194867,-8365.95361364256,-1761.42778564423
"8994",8994,5,306.858265548811,0.00101338910332528,-8382.25898232731,-1747.57730750188
"8995",8995,5,252.169547050963,0.00143208438056223,-8436.69615502146,-1693.58951768895
"8996",8996,5,160.898998470528,0.000634189826882293,-8375.12148508471,-1746.22602438551
"8997",8997,5,166.60236491878,0.000467559287091807,-8404.59111651784,-1714.33442925169
"8998",8998,5,240.161624439975,0.00217963039738845,-8399.27872243643,-1725.605413096
"8999",8999,5,210.876896183028,0.00119307989537881,-8398.85181881741,-1729.56743653995
"9000",9000,5,261.208592434069,0.00367346881951283,-8383.17588459477,-1751.51495352857
"9001",9001,5,211.481523516723,0.00103784408047111,-8383.42194228096,-1746.00482768825
"9002",9002,5,156.81160710963,0.000821464159478487,-8371.32510058485,-1756.27837964046
"9003",9003,5,236.005705883977,0.00215383084896459,-8397.90091705294,-1723.43755668714
"9004",9004,5,231.930708652065,0.00310668416998762,-8404.03179329639,-1724.07634994765
"9005",9005,5,202.153561707371,0.00179664680674857,-8374.11518617363,-1755.03738448495
"9006",9006,5,184.395119362708,0.00141795590780374,-8372.06795055026,-1758.17658252093
"9007",9007,5,237.494334638538,0.00111933863721135,-8399.88318515252,-1729.20516842743
"9008",9008,5,256.132038524987,0.00121023817125761,-8400.15260228944,-1731.7980645743
"9009",9009,5,169.294744345462,0.000560999798265554,-8369.48628454152,-1756.30009838458
"9010",9010,5,161.196833029586,0.00235675729948649,-8399.06129538382,-1731.4910661618
"9011",9011,5,185.701196880725,0.0017175304099662,-8399.7286398811,-1724.28013696414
"9012",9012,5,289.505742532386,0.00134238554790953,-8409.48562920038,-1719.52002713976
"9013",9013,5,310.555946526083,0.00198849996493113,-8414.23983529062,-1721.68731914428
"9014",9014,5,245.607161252276,0.00119077081512061,-8398.70973191715,-1725.65331554583
"9015",9015,5,248.567506889155,0.00209798477737444,-8380.07829972053,-1751.84676661626
"9016",9016,5,267.149745631966,0.00129143576705057,-8412.55082039648,-1719.62011083761
"9017",9017,5,253.478000609277,0.00439773053808221,-8364.11915295125,-1766.56440803913
"9018",9018,5,448.282901667849,0.00176047383998397,-8399.96440825212,-1734.31286841121
"9019",9019,5,191.560163298607,0.00424762228183805,-8404.56364236027,-1724.62220768755
"9020",9020,5,158.331986244346,0.00182247467441936,-8402.36753047457,-1722.59424947735
"9021",9021,5,216.473401418719,0.00151107832847811,-8398.17058611805,-1724.90857421862
"9022",9022,5,348.334615845728,0.00196876920225925,-8406.96327583842,-1725.35438358911
"9023",9023,6,194.948668122094,0.00453456034519711,-8361.63070579889,-1768.39627016015
"9024",9024,5,180.688961342294,0.00274884522445868,-8370.36095064282,-1751.60380222729
"9025",9025,5,164.246608616381,0.00125614497219372,-8400.71038550402,-1725.43123977094
