Bayesian non parametric moving average phylodynamic model
Effective population size bins: 360 
Iterations: 360 
Effective population size at last iteration:
           Time       Ne
287  -8.6245749 479.5956
288  -8.5080266 479.5956
289  -8.3914783 501.6389
290  -8.2749300 493.5829
291  -8.1583816 489.5722
292  -8.0418333 500.6061
293  -7.9252850 496.7265
294  -7.8087367 487.6042
295  -7.6921884 479.6676
296  -7.5756401 480.5032
297  -7.4590918 484.7757
298  -7.3425435 488.4983
299  -7.2259952 491.3487
300  -7.1094469 491.3487
301  -6.9928986 492.1828
302  -6.8763502 492.1828
303  -6.7598019 483.0443
304  -6.6432536 485.3592
305  -6.5267053 495.4632
306  -6.4101570 501.9388
307  -6.2936087 481.8674
308  -6.1770604 505.9777
309  -6.0605121 522.0906
310  -5.9439638 505.5321
311  -5.8274155 518.8714
312  -5.7108672 513.5302
313  -5.5943188 496.8862
314  -5.4777705 492.9166
315  -5.3612222 492.9166
316  -5.2446739 504.9304
317  -5.1281256 504.8122
318  -5.0115773 493.4806
319  -4.8950290 497.8250
320  -4.7784807 497.8250
321  -4.6619324 502.9577
322  -4.5453841 481.3659
323  -4.4288358 485.0903
324  -4.3122874 477.3469
325  -4.1957391 499.7779
326  -4.0791908 496.8335
327  -3.9626425 496.8335
328  -3.8460942 500.4643
329  -3.7295459 511.2177
330  -3.6129976 510.5281
331  -3.4964493 509.2981
332  -3.3799010 496.6214
333  -3.2633527 497.8498
334  -3.1468043 499.2588
335  -3.0302560 503.4636
336  -2.9137077 485.9197
337  -2.7971594 487.8642
338  -2.6806111 485.6122
339  -2.5640628 504.1951
340  -2.4475145 504.1951
341  -2.3309662 499.0683
342  -2.2144179 480.8043
343  -2.0978696 479.8621
344  -1.9813213 472.5261
345  -1.8647729 472.5261
346  -1.7482246 482.8259
347  -1.6316763 477.3373
348  -1.5151280 478.0063
349  -1.3985797 474.2003
350  -1.2820314 475.3469
351  -1.1654831 482.2475
352  -1.0489348 481.0007
353  -0.9323865 480.0538
354  -0.8158382 475.5620
355  -0.6992899 491.7293
356  -0.5827415 490.4065
357  -0.4661932 493.5538
358  -0.3496449 493.5538
359  -0.2330966 505.9667
360  -0.1165483 498.5483
